dodge,dodgeFromRatingPreDR,agility,parry,parryFromRatingPreDR,strength
3.0125000476837,0,0,3.7881598472595,0,0
3.0125000476837,0,0,6.4502382278442,0,627
3.0125000476837,0,0,8.6913843154907,0,1166
3.0125000476837,0,0,10.991073608398,0,1730
3.0125000476837,0,0,12.809422492981,0,2184
3.0125000476837,0,0,15.565138816833,0,2886
3.0125000476837,0,0,17.518146514893,0,3394
3.0125000476837,0,0,19.751819610596,0,3986
3.0125000476837,0,0,21.265430450439,0,4394
4.1233549118042,1.0751538276672,0,21.577308654785,0.56964290142059,4340
4.1233549118042,1.0751538276672,0,22.551303863525,1.4410834312439,4394
4.6058373451233,1.5504850149155,0,22.563680648804,2.493602514267,4141
6.0225782394409,2.9764785766602,0,23.780374526978,4.1685791015625,4069
7.3198318481445,4.3232502937317,0,25.705486297607,6.3830184936523,4069
8.1354465484619,5.1909184455872,0,24.121055603027,7.4393100738525,3367
9.2346448898315,6.386791229248,0,26.7730884552,9.9065055847168,3514
9.7618865966797,6.9715242385864,0,29.037147521973,12.588731765747,3514
9.7887601852417,6.9715242385864,300,29.037147521973,12.588731765747,3514
9.8960790634155,6.9715242385864,1500,29.037147521973,12.588731765747,3514
